EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               98.55352
energy('Ar704000.00')                                                                               86.45034
energy('Ar748000.00')                                                                               65.80811
energy('Ar770000.00')                                                                               45.59648
energy('Ar792000.00')                                                                               17.74292
energy('Ar803000.00')                                                                               3.11346
energy('Ar814000.00')                                                                               -11.36792
energy('Ar825000.00')                                                                               -24.93695
energy('Ar836000.00')                                                                               -36.58152
energy('Ar847000.00')                                                                               -46.31791
energy('Ar858000.00')                                                                               -54.14926
energy('Ar880000.00')                                                                               -67.45323
energy('Ar924000.00')                                                                               -85.27421
energy('Ar968000.00')                                                                               -83.64671
energy('Ar1012000.00')                                                                              -76.90146
energy('Ar1056000.00')                                                                              -61.77879
energy('Ar1100000.00')                                                                              -47.56267
energy('Ar1166000.00')                                                                              -30.81232
energy('Ar1232000.00')                                                                              -9.81768
energy('Ar1320000.00')                                                                              9.81987
energy('Ar1430000.00')                                                                              27.05125
energy('Ar1540000.00')                                                                              42.02060
energy('Ar1760000.00')                                                                              55.50237
energy('Ar2200000.00')                                                                              102.81268
energy('Ar2640000.00')                                                                              133.02511
energy('Ar3080000.00')                                                                              110.42689
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
