EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               96.92138
energy('Ar704000.00')                                                                               86.68642
energy('Ar748000.00')                                                                               68.61445
energy('Ar770000.00')                                                                               50.14631
energy('Ar792000.00')                                                                               23.95620
energy('Ar803000.00')                                                                               10.21878
energy('Ar814000.00')                                                                               -3.47907
energy('Ar825000.00')                                                                               -16.46452
energy('Ar836000.00')                                                                               -27.73917
energy('Ar847000.00')                                                                               -37.20350
energy('Ar858000.00')                                                                               -44.84744
energy('Ar880000.00')                                                                               -57.62117
energy('Ar924000.00')                                                                               -73.92536
energy('Ar968000.00')                                                                               -71.93668
energy('Ar1012000.00')                                                                              -64.61840
energy('Ar1056000.00')                                                                              -49.75754
energy('Ar1100000.00')                                                                              -35.52571
energy('Ar1166000.00')                                                                              -17.00052
energy('Ar1232000.00')                                                                              2.59175
energy('Ar1320000.00')                                                                              22.26798
energy('Ar1430000.00')                                                                              39.00014
energy('Ar1540000.00')                                                                              54.68784
energy('Ar1760000.00')                                                                              67.37852
energy('Ar2200000.00')                                                                              119.76228
energy('Ar2640000.00')                                                                              152.90604
energy('Ar3080000.00')                                                                              126.19850
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
