EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               96.11083
energy('Ar704000.00')                                                                               84.60990
energy('Ar748000.00')                                                                               64.39439
energy('Ar770000.00')                                                                               44.50488
energy('Ar792000.00')                                                                               17.10418
energy('Ar803000.00')                                                                               2.71093
energy('Ar814000.00')                                                                               -11.52349
energy('Ar825000.00')                                                                               -24.84869
energy('Ar836000.00')                                                                               -36.26847
energy('Ar847000.00')                                                                               -45.80388
energy('Ar858000.00')                                                                               -53.45875
energy('Ar880000.00')                                                                               -66.44278
energy('Ar924000.00')                                                                               -83.67141
energy('Ar968000.00')                                                                               -81.71140
energy('Ar1012000.00')                                                                              -74.67568
energy('Ar1056000.00')                                                                              -59.46807
energy('Ar1100000.00')                                                                              -45.15447
energy('Ar1166000.00')                                                                              -27.93835
energy('Ar1232000.00')                                                                              -7.17091
energy('Ar1320000.00')                                                                              12.52961
energy('Ar1430000.00')                                                                              29.69061
energy('Ar1540000.00')                                                                              44.84195
energy('Ar1760000.00')                                                                              58.16883
energy('Ar2200000.00')                                                                              106.63637
energy('Ar2640000.00')                                                                              137.51509
energy('Ar3080000.00')                                                                              113.99001
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
