% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=1093084, Mon Feb 17 11:37:33 2020
1 6 -0.2714217927683278 -0.2714217927683278 0 0 1 1
2 12 -0.1278421064359166 -0.1278421064359166 0 0 1 1
3 18 0 0 0.3442827594649187 0.3442827594649187 1 1
4 24 0 0 0.45090047402828587 0.4509004740282858 1 1
5 30 0 0 0.3530821528429964 0.3530821528429964 1 1
6 36 0 0 0.3877508541003356 0.38775085410033566 1 1
7 42 0 0 0.3430875737477213 0.3430875737477213 1 1
8 48 0 0 0.24548610150850855 0.24548610150850858 1 1
9 54 0 0 0.29095225704969674 0.29095225704969674 1 1
10 60 0 0 0.4464805037889394 0.4464805037889394 1 1
11 66 0 0 0.42770532349614016 0.42770532349614016 1 1
12 72 0 0 0.5740285088019169 0.5740285088019169 1 1
13 78 0 0 0.5730043031549356 0.5730043031549356 1 1
14 84 0 0 0.45644762916967446 0.45644762916967446 1 1
15 90 0 0 0.40773557607610134 0.40773557607610134 1 1
16 96 0 0 0.4670621032085467 0.46706210320854663 1 1
17 102 0 0 0.6922197327091102 0.6922197327091102 1 1
18 108 0 0 0.7047790192662474 0.7047790192662474 1 1
19 114 0 0 0.6517731484536634 0.6517731484536634 1 1
20 120 0 0 0.6349414519312875 0.6349414519312875 1 1
21 126 0 0 0.5434450694242159 0.5434450694242159 1 1
22 132 0 0 0.6257357386877761 0.6257357386877761 1 1
23 138 0 0 0.6389010167595489 0.6389010167595489 1 1
24 144 0 0 0.7707061783646258 0.7707061783646258 1 1
25 150 0 0 0.7795079975390149 0.779507997539015 1 1
26 156 0 0 0.886991358558606 0.886991358558606 1 1
27 162 0 0 0.9053320069842994 0.9053320069842995 1 1
28 168 0 0 0.9169440538409913 0.9169440538409913 1 1
29 174 0 0 0.9316267798112997 0.9316267798112997 1 1
30 180 0 0 0.9484298890172252 0.9484298890172252 1 1
31 186 0 0 0.969032814092607 0.969032814092607 1 1
32 192 0 0 0.9713627138295887 0.9713627138295887 1 1
33 198 0 0 0.9595034164423588 0.9595034164423588 1 1
34 204 0 0 0.9485245241394966 0.9485245241394966 1 1
35 210 0 0 0.9367381795986434 0.9367381795986434 1 1
36 216 0 0 0.9301450069144714 0.9301450069144713 1 1
37 222 0 0 0.9383603474177474 0.9383603474177473 1 1
38 228 0 0 0.9504205192111714 0.9504205192111715 1 1
39 234 0 0 0.9620682975503944 0.9620682975503945 1 1
40 240 0 0 0.964440016499412 0.9644400164994119 1 1
41 246 0 0 0.9642944391872394 0.9642944391872394 1 1
42 252 0 0 0.9687414735968896 0.9687414735968894 1 1
43 258 0 0 0.977318239866516 0.977318239866516 1 1
44 264 0 0 0.9744973365203867 0.9744973365203866 1 1
45 270 0 0 0.9583149538792081 0.9583149538792081 1 1
46 276 0 0 0.9595225726173445 0.9595225726173445 1 1
47 282 0 0 0.9738829450390556 0.9738829450390557 1 1
48 288 0 0 0.970757713654898 0.9707577136548979 1 1
49 294 0 0 0.9563525316389845 0.9563525316389844 1 1
50 300 0 0 0.9481057335868652 0.9481057335868652 1 1
51 306 0 0 0.936442707775247 0.936442707775247 1 1
52 312 0 0 0.9562036763161776 0.9562036763161776 1 1
53 318 0 0 0.9445718457703888 0.9445718457703888 1 1
54 324 0 0 0.9545179774667367 0.9545179774667367 1 1
55 330 0 0 0.9423709157950886 0.9423709157950885 1 1
56 336 0 0 0.9625091498630028 0.9625091498630028 1 1
57 342 0 0 0.9577112557544539 0.9577112557544538 1 1
58 348 0 0 0.9425355496340533 0.9425355496340533 1 1
59 354 0 0 0.943141229714744 0.943141229714744 1 1
60 360 0 0 0.9488796979144218 0.948879697914422 1 1
61 366 0 0 0.9316757596017697 0.9316757596017696 1 1
62 372 0 0 0.9565214799290508 0.9565214799290508 1 1
63 378 0 0 0.9578129460537381 0.9578129460537381 1 1
64 384 0 0 0.9658797380147088 0.9658797380147088 1 1
65 390 0 0 0.9621958009805373 0.9621958009805374 1 1
66 396 0 0 0.9733821767883672 0.9733821767883672 1 1
67 402 0 0 0.9647623600106539 0.9647623600106537 1 1
68 408 0 0 0.9485383873986268 0.9485383873986268 1 1
69 414 0 0 0.9558000997884492 0.9558000997884492 1 1
70 420 0 0 0.967776630037955 0.967776630037955 1 1
71 426 0 0 0.9651666051315091 0.965166605131509 1 1
72 432 0 0 0.964098202528099 0.9640982025280991 1 1
