EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               99.51931
energy('Ar704000.00')                                                                               86.67407
energy('Ar748000.00')                                                                               65.07748
energy('Ar770000.00')                                                                               44.21307
energy('Ar792000.00')                                                                               15.71258
energy('Ar803000.00')                                                                               0.73731
energy('Ar814000.00')                                                                               -14.05437
energy('Ar825000.00')                                                                               -27.86442
energy('Ar836000.00')                                                                               -39.67342
energy('Ar847000.00')                                                                               -49.53664
energy('Ar858000.00')                                                                               -57.46165
energy('Ar880000.00')                                                                               -71.00092
energy('Ar924000.00')                                                                               -89.44151
energy('Ar968000.00')                                                                               -87.99327
energy('Ar1012000.00')                                                                              -81.49314
energy('Ar1056000.00')                                                                              -66.29454
energy('Ar1100000.00')                                                                              -52.09997
energy('Ar1166000.00')                                                                              -36.03698
energy('Ar1232000.00')                                                                              -14.52256
energy('Ar1320000.00')                                                                              5.09126
energy('Ar1430000.00')                                                                              22.50593
energy('Ar1540000.00')                                                                              37.19817
energy('Ar1760000.00')                                                                              50.97757
energy('Ar2200000.00')                                                                              96.35190
energy('Ar2640000.00')                                                                              125.44615
energy('Ar3080000.00')                                                                              104.41428
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
