EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               130.88455
energy('Ar704000.00')                                                                               110.17881
energy('Ar748000.00')                                                                               82.90444
energy('Ar770000.00')                                                                               57.77115
energy('Ar792000.00')                                                                               23.33745
energy('Ar803000.00')                                                                               5.26538
energy('Ar814000.00')                                                                               -12.75118
energy('Ar825000.00')                                                                               -29.72860
energy('Ar836000.00')                                                                               -44.44315
energy('Ar847000.00')                                                                               -56.89894
energy('Ar858000.00')                                                                               -67.09616
energy('Ar880000.00')                                                                               -84.77106
energy('Ar924000.00')                                                                               -110.91504
energy('Ar968000.00')                                                                               -113.74853
energy('Ar1012000.00')                                                                              -111.01097
energy('Ar1056000.00')                                                                              -96.87536
energy('Ar1100000.00')                                                                              -83.92822
energy('Ar1166000.00')                                                                              -73.97310
energy('Ar1232000.00')                                                                              -49.43268
energy('Ar1320000.00')                                                                              -30.62716
energy('Ar1430000.00')                                                                              -12.26947
energy('Ar1540000.00')                                                                              0.03412
energy('Ar1760000.00')                                                                              15.86207
energy('Ar2200000.00')                                                                              46.00346
energy('Ar2640000.00')                                                                              66.32624
energy('Ar3080000.00')                                                                              57.49883
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
