EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               155.55634
energy('Ar704000.00')                                                                               79.70751
energy('Ar748000.00')                                                                               -28.35978
energy('Ar770000.00')                                                                               -107.89705
energy('Ar792000.00')                                                                               -192.45245
energy('Ar803000.00')                                                                               -237.48394
energy('Ar814000.00')                                                                               -278.69647
energy('Ar825000.00')                                                                               -312.21600
energy('Ar836000.00')                                                                               -336.55500
energy('Ar847000.00')                                                                               -355.65186
energy('Ar858000.00')                                                                               -369.95724
energy('Ar880000.00')                                                                               -401.45572
energy('Ar924000.00')                                                                               -471.10195
energy('Ar968000.00')                                                                               -481.94651
energy('Ar1012000.00')                                                                              -494.82579
energy('Ar1056000.00')                                                                              -470.88601
energy('Ar1100000.00')                                                                              -457.26909
energy('Ar1166000.00')                                                                              -501.00562
energy('Ar1232000.00')                                                                              -432.31436
energy('Ar1320000.00')                                                                              -414.03119
energy('Ar1430000.00')                                                                              -379.82825
energy('Ar1540000.00')                                                                              -389.33554
energy('Ar1760000.00')                                                                              -348.92975
energy('Ar2200000.00')                                                                              -474.40349
energy('Ar2640000.00')                                                                              -544.02060
energy('Ar3080000.00')                                                                              -426.67668
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
