EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               156.65670
energy('Ar704000.00')                                                                               126.06544
energy('Ar748000.00')                                                                               88.78364
energy('Ar770000.00')                                                                               56.56997
energy('Ar792000.00')                                                                               14.07970
energy('Ar803000.00')                                                                               -8.25333
energy('Ar814000.00')                                                                               -30.36566
energy('Ar825000.00')                                                                               -50.92905
energy('Ar836000.00')                                                                               -68.54469
energy('Ar847000.00')                                                                               -83.45281
energy('Ar858000.00')                                                                               -95.67950
energy('Ar880000.00')                                                                               -117.49239
energy('Ar924000.00')                                                                               -152.58670
energy('Ar968000.00')                                                                               -159.26336
energy('Ar1012000.00')                                                                              -160.50331
energy('Ar1056000.00')                                                                              -146.49643
energy('Ar1100000.00')                                                                              -134.45872
energy('Ar1166000.00')                                                                              -132.94392
energy('Ar1232000.00')                                                                              -102.99358
energy('Ar1320000.00')                                                                              -84.84428
energy('Ar1430000.00')                                                                              -64.65463
energy('Ar1540000.00')                                                                              -55.70879
energy('Ar1760000.00')                                                                              -36.59017
energy('Ar2200000.00')                                                                              -29.01825
energy('Ar2640000.00')                                                                              -21.71479
energy('Ar3080000.00')                                                                              -12.35522
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
