EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               99.51940
energy('Ar704000.00')                                                                               86.67104
energy('Ar748000.00')                                                                               65.06961
energy('Ar770000.00')                                                                               44.20197
energy('Ar792000.00')                                                                               15.69859
energy('Ar803000.00')                                                                               0.72176
energy('Ar814000.00')                                                                               -14.07123
energy('Ar825000.00')                                                                               -27.88218
energy('Ar836000.00')                                                                               -39.69165
energy('Ar847000.00')                                                                               -49.55516
energy('Ar858000.00')                                                                               -57.48034
energy('Ar880000.00')                                                                               -71.02028
energy('Ar924000.00')                                                                               -89.46326
energy('Ar968000.00')                                                                               -88.01533
energy('Ar1012000.00')                                                                              -81.51601
energy('Ar1056000.00')                                                                              -66.31673
energy('Ar1100000.00')                                                                              -52.12206
energy('Ar1166000.00')                                                                              -36.06218
energy('Ar1232000.00')                                                                              -14.54511
energy('Ar1320000.00')                                                                              5.06872
energy('Ar1430000.00')                                                                              22.48434
energy('Ar1540000.00')                                                                              37.17531
energy('Ar1760000.00')                                                                              50.95617
energy('Ar2200000.00')                                                                              96.32139
energy('Ar2640000.00')                                                                              125.41037
energy('Ar3080000.00')                                                                              104.38589
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
