EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               100.89488
energy('Ar704000.00')                                                                               87.84981
energy('Ar748000.00')                                                                               66.23011
energy('Ar770000.00')                                                                               45.32956
energy('Ar792000.00')                                                                               16.70340
energy('Ar803000.00')                                                                               1.66489
energy('Ar814000.00')                                                                               -13.20707
energy('Ar825000.00')                                                                               -27.11445
energy('Ar836000.00')                                                                               -39.02915
energy('Ar847000.00')                                                                               -48.99245
energy('Ar858000.00')                                                                               -57.01025
energy('Ar880000.00')                                                                               -70.69961
energy('Ar924000.00')                                                                               -89.36722
energy('Ar968000.00')                                                                               -88.09302
energy('Ar1012000.00')                                                                              -81.72044
energy('Ar1056000.00')                                                                              -66.59995
energy('Ar1100000.00')                                                                              -52.46497
energy('Ar1166000.00')                                                                              -36.52516
energy('Ar1232000.00')                                                                              -15.00166
energy('Ar1320000.00')                                                                              4.57638
energy('Ar1430000.00')                                                                              21.98770
energy('Ar1540000.00')                                                                              36.63417
energy('Ar1760000.00')                                                                              50.43544
energy('Ar2200000.00')                                                                              95.56682
energy('Ar2640000.00')                                                                              124.52216
energy('Ar3080000.00')                                                                              103.68051
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
