EXPR                                                                                                CONTRIBUTION
energy('Ar660000.00')                                                                               99.50860
energy('Ar704000.00')                                                                               86.66651
energy('Ar748000.00')                                                                               65.07259
energy('Ar770000.00')                                                                               44.21012
energy('Ar792000.00')                                                                               15.71209
energy('Ar803000.00')                                                                               0.73811
energy('Ar814000.00')                                                                               -14.05226
energy('Ar825000.00')                                                                               -27.86110
energy('Ar836000.00')                                                                               -39.66904
energy('Ar847000.00')                                                                               -49.53132
energy('Ar858000.00')                                                                               -57.45554
energy('Ar880000.00')                                                                               -70.99330
energy('Ar924000.00')                                                                               -89.43089
energy('Ar968000.00')                                                                               -87.98115
energy('Ar1012000.00')                                                                              -81.47962
energy('Ar1056000.00')                                                                              -66.28075
energy('Ar1100000.00')                                                                              -52.08577
energy('Ar1166000.00')                                                                              -36.02022
energy('Ar1232000.00')                                                                              -14.50724
energy('Ar1320000.00')                                                                              5.10686
energy('Ar1430000.00')                                                                              22.52106
energy('Ar1540000.00')                                                                              37.21430
energy('Ar1760000.00')                                                                              50.99279
energy('Ar2200000.00')                                                                              96.37369
energy('Ar2640000.00')                                                                              125.47173
energy('Ar3080000.00')                                                                              104.43457
energy('Ar3520000.00')                                                                              -632.66667
energy('Ar4400000.00')                                                                              -491.00000
